smiles,Activity2
CCCCC(NC(=O)C(CCC=CC(=O)OC)NC(=O)C(CC(=O)O)NC(C)=O)C(=O)NC(CCCC)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCCC1C(=O)O,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OC)CC2)cc1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3)CC2)cc1,1.0
CCCC(=O)C1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1,1.0
NCC(=O)N1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1,1.0
C=CC(=O)NCC(=O)N1CCN(C(=O)C23CC4CC(CC(C4)C2)C3)CC1,1.0
C=C1CC(C(=O)NC(CC(C)C)C(=O)NC(C(N)=O)C2CCCCC2)N(C(=O)C(NC(=O)C(CCC=CC(=O)OCC)NC(=O)c2ccc([N+](=O)[O-])cc2C(=O)O)C(C)(C)C)C1,1.0
O=C(c1ccncc1)N1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1,1.0
Cc1ccc(NC(=O)C2OC2C(N)=O)cc1C,1.0
NNC(=O)CSc1nc2sc(Cl)c(-c3ccccc3F)c2c(=O)n1-c1cccc(F)c1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CC(O)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
O=C(N1CCN(c2ccc(N3CCCC3)nn2)CC1)n1sc2c(ccc[n+]2[O-])c1=O,1.0
CC(C)(C)OC(=O)N1CCN(S(=O)(=O)c2ccc(NC(=O)C=CCl)cc2)CC1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CC3CN(C(=O)OCc4ccccc4)CC3C2)cc1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCC3CCCCC3)cc2)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2cccc(I)n2)CC1,1.0
COc1ccccc1-c1csc2nc(SCC(=O)NN)n(-c3cccc(F)c3)c(=O)c12,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1C(C(=O)NC(C(=O)NC(C(N)=O)C2CCCCC2)C2CCCCC2)CC2CCCCC21)C(C)(C)C,1.0
COC(=O)C=CCCC(NC(=O)C1CC(=O)CN1)C(=O)NC(CC1CC1)C(=O)N1CCOCC1C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)O,1.0
Cc1sc2nc(SCC(=O)NN)n(-c3cccc(F)c3)c(=O)c2c1-c1ccccc1F,1.0
NC(=O)C1OC1C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(F)cc3)cc2)cc1,1.0
CCCCc1ccc(NC(=O)C2OC2C(N)=O)cc1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CC(F)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)CCc3ccccc3)CC2)cc1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCN(c2ncccc2C(F)(F)F)CC1,1.0
NNC(=O)CSc1nc2sc3c(c2c(=O)n1-c1cccc(F)c1)C(c1ccccc1)CCC3,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCN(c2ncccc2C)CC1,1.0
